_id,bill-id,category,name,status,pass-fail,house-yea,house-nay,senate-yea,senate-nay,summary-author,summary-text,vtd-url
22,H.57,Health Care,Abortion rights protections,Awaiting governor's signature,pass,104,40,24,6,Xander Landen,"With many Democrats concerned that a conservative majority on the U.S. Supreme Court could mean the end of Roe vs. Wade, the federal ruling that guarantees abortion rights, lawmakers sought to protect those rights in Vermont. H.57 would preserve a woman’s right to abortion—without restrictions—in state law. Gov. Phil Scott signed the bill on Jun 10.",https://vtdigger.org/vtd_series/abortion-2019/
23,PR.5,Health Care,Abortion constitutional amendment,Needs approval next biennium,waiting,106,38,28,2,Xander Landen,"Lawmakers also passed a proposed amendment to the state Constitution that would enshrine a woman’s right to an abortion into state law: Proposal 5. The measure would need to pass both chambers of the Legislature again in a second biennium, and be approved by voters on a statewide ballot before it would be added to the Constitution.",https://vtdigger.org/tag/proposal-5/
24,PR.1,Politics,Four-year terms for governor,Stalled in committee,fail,,,,,Xander Landen,"Sen. President Pro Tem Tim Ashe, D/P-Chittenden, announced before the session that passing a constitutional amendment to extend Vermont governor terms from two to four years was a top priority. But in committee, other proposed constitutional amendments, including the abortion amendment, took precedence. The proposal will likely come up again next year.",https://vtdigger.org/tag/four-year-term/
25,N/A,Criminal Justice,Reducing the state’s inmate population,,fail,,,,,Xander Landen,"Sen. President Pro Tem Tim Ashe challenged senators to reduce Vermont’s prison population by 250 inmates. Ashe suggested areas for potential reductions including furlough and detention reforms, sentencing laws, restorative justice and transitional housing. Ashe said lawmakers needed more time to come up with strategies and will be working on the issue next year.",https://vtdigger.org/tag/prison-population/
26,H.330,Criminal Justice,Child sexual abuse statute of limitations,Signed into Act 37,pass,no roll call,no roll call,no roll call,no roll call,Xander Landen,"Gov. Phil Scott signed H.330, a bill that removes the six-year statute of limitations for victims of child sexual abuse to file civil complaints against their abusers. The law applies retroactively to any cases from the past—even cases where previously the statute of limitations had expired.",https://vtdigger.org/tag/h-330/
27,N/A,Spending items,Reach Up assistance program,Included in Budget bill,pass,,,,,Xander Landen,"Budget writers considered staffing reductions at Reach Up, a financial assistance program for low income families, which has seen less demand in recent years. Ultimately they moved to cut 20 Reach Up caseworkers from the parent child centers—a network of nonprofits that provide services to families. Lawmakers also spent about $2 million to increase the benefits families receive each month.",https://vtdigger.org/tag/reach-up/
28,N/A,Spending items,Residential care facilities funding boost,Included in Budget bill,pass,,,,,Xander Landen,"Lawmakers boosted by $1 million additional funding for a Medicaid benefit for seniors living in residential care facilities. The state has more than 100 facilities that serve seniors who require some level of supervised care but not a nursing home setting. The reimbursement rate the facilities receive from the state has remained the same since 2012, putting a strain on providers.",https://vtdigger.org/tag/budget-2019/ 
29,N/A,Health Care,Dental care expansion,Included in Budget bill,pass,,,,,Xander Landen,"Budget writers in the Senate pushed to expand dental coverage for adults on Medicaid. The budget includes about $1 million to fund two cleanings and up to $1,000 for other dental services per year for Vermonters on Medicaid.",https://vtdigger.org/tag/dental-health/
30,N/A,Spending items,Personal needs allowances,Included in Budget bill,pass,,,,,Xander Landen,"Lawmakers crafting the budget prioritized raising the personal needs allowance for low income nursing home residents, which hasn’t seen an increase in years.  They spent an extra $250,000 to increase the allowance by $25 per month, which residents use to purchase personal items like clothes and toiletries.",https://vtdigger.org/tag/budget-2019/ 
31,H.460,Criminal Justice,Sealing and expungement,Signed into Act 32,pass,105,32,no roll call,no roll call,Justin Trombly,"H.460 expands the list of offenses for which Vermonters can seek sealing and expungement. The law covers possession charges for eight drug categories, forgery charges and some burglary charges. Certain DUI charges are also eligible, as are offenses unconditionally pardoned by a governor. It goes into effect Oct. 1 and has been touted as a way to increase participation in the economy.",https://vtdigger.org/tag/h-460/
32,H.513,Economy,Broadband access,,pass,139,2,29,0,Ellie French,"H.513 is the largest legislative effort in many years to expand the state's broadband network. The legislation is aimed at helping expand the state's fiber network into rural areas, to help reach the 20% of Vermont addresses that lack access to ""modern internet speeds."" Included in the bill are measures to create a loan program for small startup internet providers, allocate money to help municipalities plan broadband buildout, and subsidize internet service providers' expansions into rural areas.",https://vtdigger.org/tag/broadband/
33,S.58,Business,Hemp regulation,Signed into Act 44,pass,no roll call,no roll call,no roll call,no roll call,Anne Wallace Allen,"S.58 establishes policy and procedures for growing, processing, testing, and marketing hemp and hemp products in Vermont that comply with federal law. The measure also defines hemp and industrial hemp and its products for the purposes of regulation, and lays out the rules and the fees for registering as a hemp grower with the state.",https://vtdigger.org/tag/s-58/
34,N/A,Health Care,Restoration of health deduction,Included in Revenue bill,pass,,,,,Anne Wallace Allen,"H.541, which includes the restoration of a deduction for medical expenses, still hasn’t been delivered to the governor. But as it stands now, the deduction – removed by lawmakers during extensive tax reform in 2018 – would be largely restored. Most of the people who have a critical care or other exceptionally high medical expense will be restored to roughly the same place as they were before the 2018 tax reform.",https://vtdigger.org/tag/health-expense-deduction/
35,H.533,Business,Workforce development,Passed by conference committee,pass,124,0,24,3,Anne Wallace Allen,"H.533 includes the guidelines for a new reimbursement program aimed at increasing the number of workers in Vermont. The state will reimburse anyone from out of state up to $5,000 in some areas and $7,500 in others if they move to Vermont to take a job. New workers can apply for this program and for the existing remote worker program starting July 1.",https://vtdigger.org/tag/h-533/
36,S.37,Health Care,Medical monitoring,vetoed by governor,fail,100,42,19,11,Iris Lewis,"S.37 allows Vermonters to sue companies that exposed them to toxins for the cost of medical monitoring. The bill came after contaminants from the ChemFab plant in Bennington were discovered in local wells. Advocates say that the bill places rightful responsibility on businesses, but Gov. Phil Scott vetoed a similar proposal last year.",https://vtdigger.org/tag/s-37/
37,H.205,Environment,Pollinator protection,Signed into law,pass,no roll call,no roll call,30,0,Iris Lewis,"H.205 restricts the use of a class of pesticides that are considered toxic to bees. Neonicotinoids, the pesticide in question, are the most widely used class of insecticide in the world — and their risk to pollinators is well-established. The bill will primarily curtail home use of the pesticide, while agricultural and commercial uses may continue in some cases.",https://vtdigger.org/tag/h-205/
38,H.63,Environment,Home weatherization,Passed by conference committee,pass,no roll call,no roll call,29,0,Iris Lewis,"H.63 will make Efficiency Vermont, the state’s energy efficiency utility, put money left over from the efficiency charge on electric bills toward weatherization incentives for median-income residents. The bill came after the failure of H.439, a piece of legislation that would have increased the fuel tax to fund weatherization. According to weatherization proponents, the practice will help decrease Vermont’s negative impact on the environment.",https://vtdigger.org/tag/weatherization/
39,N/A,Environment,Electric vehicle incentives,Included in Budget bill,pass,,,,,Iris Lewis,"Vermont's budget included $4.6 million towards additional spending on electric vehicles, including incentives for low income residents. The budget represents a significant attempt to decrease the state’s contributions to climate change.",https://vtdigger.org/tag/h-462/
40,S.96,Environment,Clean water funding,Passed by conference committee,pass,133,5,no roll call,no roll call,Iris Lewis,"S.96 shifts 6% of the rooms and meals tax to fund clean water projects. After 2021, it is expected to generate $12 million for clean water annually. Vermont faces federal pressure to reduce phosphorus pollution in Lake Champlain, and the bill’s funds will go towards decreasing current pollution levels.",https://vtdigger.org/tag/clean-water-funding/
41,S.113,Environment,Single-use plastic ban,Signed into law,pass,120,24,30,0,Iris Lewis,"S.113 bans single-use plastic bags, plastic stirrers, and the foam used in some coffee cups and takeout containers. It also requires that restaurants provide plastic straws by request only. The bill will decrease the prevalence of a variety of single-use products, a cause that advocates say will decrease plastic pollution.",https://vtdigger.org/tag/s-113/
42,S.49,Environment,PFOA protections,Signed into Act 21,pass,135,1,29,1,Iris Lewis,"S.49 mandates that managers of public water supplies ensure that levels of five contaminants stay below 20 parts per trillion. If elevated levels are found, managers must treat the water and provide consumers with an alternative until the public supply is safe. The bill comes after water toxicity gained notoriety in Vermont when Bennington wells became contaminated in 2016.",https://vtdigger.org/tag/s-49/
43,H.543,Health Care,Replacement of Middlesex facility,Signed into Act 42,pass,no roll call,no roll call,30,0,?,"Lawmakers carved out $4.5 million from the $123.2 million capital spending bill, H.543, to “expedite” the closure of a deteriorating mental health facility in Middlesex. The $4.5 million allocated over two years will be used to support land acquisition, design, permitting and the beginning stages of construction for a new 16-bed, state-owned secure residential facility. The total cost for the state’s plan could be $14 million to $16 million.",https://vtdigger.org/tag/middlesex-therapeutic-community-residence/ 
44,S.68,Social Justice,Indigenous People’s Day ,Signed into Act 18,pass,113,24,no roll call,no roll call,Ellie French,"S.68 officially changes Columbus Day to Indigenous People’s Day in Vermont. The bill easily passed both chambers, with a few Republicans opposing the measure in favor of keeping Columbus Day as is, and adding a separate Indigenous People’s Day holiday on a different date. Vermont has celebrated the new holiday since 2016, with the governor signing temporary executive proclamations each year to make the change — but the new legislation makes that permanent. The bill’s passage makes Vermont one of just three states that officially recognize the holiday.",https://vtdigger.org/tag/s-68/
45,H.104,Business,Professional regulation reform,Signed into Act 30,pass,no roll call,no roll call,no roll call,no roll call,Anne Wallace Allen,"H.104 creates a pathway for the General Assembly to examine whether or not the professionals regulated by various state entities should be moved to the oversight of the Secretary of State’s Office of Professional Regulation. The OPR, Agency of Administration, and other agencies will collaborate on analyzing this and report back to the Legislature.",https://vtdigger.org/tag/office-of-professional-regulation/
46,PR.2,Social Justice,Remove slavery mention,Stalled in House committee,fail,,,28,1,Ellie French,"Proposal 2, which would amend the state’s Constitution to prohibit slavery, overwhelmingly passed the Senate. Though the document already bars the practice, the amendment would tighten the wording to clarify that slavery and indentured servitude are prohibited “in any form.” The proposal’s lone opponent argued that in doing so, the state would simply be putting a “smiley face” on history. The measure still needs approval from the House this biennium, support from both chambers in the next biennium, and a favorable vote in the general election before the Constitution can be amended to reflect the change.",https://vtdigger.org/tag/proposal-2/ 
47,N/A,Taxes,Estate tax exemption,Included in Revenue bill,pass,,,,,Anne Wallace Allen,"Also included in H.541 is the estate tax exclusion. Under current law, the estate tax exclusion is $2.75 million. Under the conference committee-passed version of the bill that’s expected to be delivered to the governor, starting Jan. 1, 2020, the estate tax exclusion will be $4.25 million; on Jan. 1, 2021, that goes up to $5 million. ",https://vtdigger.org/tag/estate-tax/
48,N/A,Taxes,Fuel tax,,fail,,,,,Iris Lewis,"H.439 would have increased the fuel tax by 2 cents to fund weatherization, a process that protects buildings to reduce their energy consumption. The bill narrowly passed in the House but did not make it out of the Senate, with critics pointing to the burden of an added tax on low-income Vermonters.",https://vtdigger.org/tag/fuel-tax/
49,H.181,Health Care,Auditing OneCare,Stalled in committee,fail,,,,,Ellie French,"H.181, a bill that would have increased oversight of Vermont’s all-payer health care system, never made it out of committee. The legislation would have given state Auditor Doug Hoffer the ability to access more records for the state’s accountable care organization—currently OneCare Vermont. OneCare coordinates hundreds of millions of dollars in payments and investments under the all-payer model. But lawmakers were dubious if the bill was really necessary, noting that Hoffer already has access to many records through his ability to audit the organization.",https://vtdigger.org/tag/h-181/
50,N/A,Environment,Act 250 reform,Stalled in committee,fail,,,,,Iris Lewis,"A variety of bills proposing change to Act 250, Vermont’s 50-year-old land use law, all failed to make it through the legislative session. In 2018, lawmakers proposed updates to Act 250 to promote development and protect the state’s natural environments. The changes are still future possibilities, but lawmakers said they required too much time to enact this year.",https://vtdigger.org/tag/act-250/ 
51,H.51,Environment,Fossil fuel infrastructure ban,Stalled in committee,fail,,,,,Iris Lewis,"H.51 would have banned new fossil fuel infrastructure such as pipelines or distribution lines. The bill was one of several that sought to restrict fossil fuel infrastructure, including H.175 (which prohibited utilities from using eminent domain for fossil fuel infrastructure) and H.124 (which required the Public Utility Commission to consider the effects of groundwater contamination when permitting natural gas facilities). All three bills ended in the House.",https://vtdigger.org/tag/fossil-fuel-infrastructure/
52,N/A,Spending items,Housing bond,,fail,,,,,Anne Wallace Allen,"Backers of a proposed $50 million affordable housing bond shelved their plans mid-session, opting instead to participate in a study to look at the state’s alternatives for addressing Vermont’s housing shortage.",https://vtdigger.org/tag/housing-bond/
53,N/A,Politics,Non-citizen voting,Stalled in Senate committee,fail,95,46,,,Iris Lewis,"H.207 would have allowed noncitizens to vote in Montpelier city elections. The bill was passed by local vote in Montpelier, making the city the first municipality in Vermont to approve noncitizen voting. In the Legislature, however, the bill was stopped in the Senate, with critics expressing concerns over the bill’s constitutionality.",https://vtdigger.org/tag/noncitizen-voting/
